day,irrigation_demand_m3,community_water_demand_m3,total_water_demand_m3,field_openfield_demand_m3,field_underpv_high_demand_m3,field_underpv_low_demand_m3,field_underpv_medium_demand_m3,field_openfield_etc_m3,field_underpv_high_etc_m3,field_underpv_low_etc_m3,field_underpv_medium_etc_m3,community_chilled_warehouse_water_m3,community_climate_controlled_warehouse_water_m3,community_large_household_water_m3,community_medium_household_water_m3,community_meeting_hall_water_m3,community_non_conditioned_warehouse_water_m3,community_office_admin_water_m3,community_small_household_water_m3,community_total_building_water_m3,community_total_household_water_m3,community_workshop_maintenance_water_m3,gw_untreated_to_tank_m3,gw_treated_to_tank_m3,municipal_to_tank_m3,total_sourced_to_tank_m3,municipal_community_m3,irrigation_delivered_m3,tank_flush_delivered_m3,safety_flush_m3,look_ahead_drain_m3,deficit_m3,field_openfield_delivered_m3,field_underpv_high_delivered_m3,field_underpv_low_delivered_m3,field_underpv_medium_delivered_m3,delivered_tds_ppm,sourced_tds_ppm,crop_tds_requirement_ppm,tds_exceedance_ppm,pumping_energy_kwh,treatment_energy_kwh,application_energy_kwh,field_openfield_application_energy_kwh,field_underpv_high_application_energy_kwh,field_underpv_low_application_energy_kwh,field_underpv_medium_application_energy_kwh,well_1_pumping_kwh,well_2_pumping_kwh,well_3_pumping_kwh,total_water_energy_kwh,municipal_irrigation_cost,municipal_community_cost,groundwater_cost,total_water_cost,tank_volume_m3,tank_tds_ppm,prefill_m3,over_delivery_m3,balance_check,policy_strategy,policy_primary_source,policy_flush_reason,policy_deficit,gw_cap_used_month_m3,muni_cap_used_month_m3,gw_monthly_cap_m3,muni_monthly_cap_m3,treatment_feed_m3,treatment_max_feed_m3,treatment_reject_m3,well_1_extraction_m3,well_1_tds_ppm,well_2_extraction_m3,well_2_tds_ppm,well_3_extraction_m3,well_3_tds_ppm,total_groundwater_extracted_m3,treatment_target_m3,treatment_utilization_pct,treatment_energy_multiplier,treatment_on
2010-01-01,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-02,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-03,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-04,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-05,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-06,0.0,27.42,27.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,1.05,8.25,5.4,1.68,0.84,1.575,1.8,11.97,15.45,6.3,0.0,0.0,0.0,0.0,27.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.71,0.0,13.71,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-07,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-08,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-09,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-10,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-11,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
2010-01-12,0.0,26.076,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,7.83,5.136,1.6,0.8,1.5,1.71,11.4,14.676,6.0,0.0,0.0,0.0,0.0,26.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038,0.0,13.038,100.0,500.0,0.0,0.0,0.0,minimize_cost,none,none,False,0.0,0.0,15000,inf,0.0,1200,0.0,0.0,1400,0.0,3500,0.0,6500,0.0,0.0,0.0,1.0,True
