# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for tomato planted 04-01
#   under underpv_medium (spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 04-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.6,0.1,4.01,1.99,1.99,1.99,1.0,1.0,10.5,10.5,0.0
full_eto,001,2010,2,2010-04-02,initial,0.6,0.104,4.2,2.08,2.08,2.08,1.0,1.0,10.6,21.1,0.0
full_eto,001,2010,3,2010-04-03,initial,0.6,0.109,4.08,2.02,2.02,2.02,1.0,1.0,10.1,31.2,0.0
full_eto,001,2010,4,2010-04-04,initial,0.6,0.113,3.77,1.87,1.87,1.87,1.0,1.0,10.0,41.3,0.0
full_eto,001,2010,5,2010-04-05,initial,0.6,0.118,4.23,2.12,2.12,2.12,1.0,1.0,11.7,53.0,0.0
full_eto,001,2010,6,2010-04-06,initial,0.6,0.122,4.01,2.01,2.01,2.01,1.0,1.0,12.5,65.4,0.0
full_eto,001,2010,7,2010-04-07,initial,0.6,0.126,4.04,2.03,2.03,2.03,1.0,1.0,12.9,78.3,0.0
full_eto,001,2010,8,2010-04-08,initial,0.6,0.131,3.83,1.92,1.92,1.92,1.0,0.988,13.1,91.4,0.0
full_eto,001,2010,9,2010-04-09,initial,0.6,0.135,3.95,1.98,1.98,1.98,1.0,1.0,13.6,105.1,0.0
full_eto,001,2010,10,2010-04-10,initial,0.6,0.14,3.28,1.63,1.63,1.63,1.0,1.0,13.1,118.2,0.0
full_eto,001,2010,11,2010-04-11,initial,0.6,0.144,3.7,1.83,1.83,1.83,1.0,1.0,13.0,131.2,0.0
full_eto,001,2010,12,2010-04-12,initial,0.6,0.148,3.68,1.85,1.85,1.85,1.0,1.0,14.8,145.9,0.0
full_eto,001,2010,13,2010-04-13,initial,0.6,0.153,3.66,1.84,1.84,1.84,1.0,0.881,14.5,160.5,0.0
full_eto,001,2010,14,2010-04-14,initial,0.6,0.157,4.09,2.04,2.04,2.04,1.0,1.0,16.6,177.1,0.0
full_eto,001,2010,15,2010-04-15,initial,0.6,0.162,3.41,1.69,1.69,1.69,1.0,1.0,16.5,193.6,0.0
full_eto,001,2010,16,2010-04-16,initial,0.6,0.166,3.39,1.68,1.68,1.68,1.0,1.0,17.4,211.0,0.0
full_eto,001,2010,17,2010-04-17,initial,0.6,0.17,4.48,2.24,2.24,2.24,1.0,1.0,18.5,229.5,0.0
full_eto,001,2010,18,2010-04-18,initial,0.6,0.175,4.31,2.14,2.14,2.14,1.0,1.0,18.3,247.7,0.0
