# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for tomato planted 11-01
#   under underpv_high (fall-winter season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9755
# CROP: tomato
# PLANTING_DATE: 11-01
# CONDITION: underpv_high
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-11-01,initial,0.6,0.1,2.43,0.85,0.85,0.85,1.0,1.0,4.9,4.9,0.0
full_eto,001,2010,2,2010-11-02,initial,0.6,0.104,2.15,0.75,0.75,0.75,1.0,1.0,5.1,10.1,0.0
full_eto,001,2010,3,2010-11-03,initial,0.6,0.109,2.36,0.82,0.82,0.82,1.0,1.0,5.1,15.2,0.0
full_eto,001,2010,4,2010-11-04,initial,0.6,0.113,1.93,0.66,0.66,0.66,1.0,1.0,5.1,20.3,0.0
full_eto,001,2010,5,2010-11-05,initial,0.6,0.118,2.21,0.76,0.76,0.76,1.0,1.0,5.2,25.5,0.0
full_eto,001,2010,6,2010-11-06,initial,0.6,0.122,2.32,0.8,0.8,0.8,1.0,1.0,5.2,30.7,0.0
full_eto,001,2010,7,2010-11-07,initial,0.6,0.126,2.27,0.79,0.79,0.79,1.0,1.0,5.6,36.3,0.0
full_eto,001,2010,8,2010-11-08,initial,0.6,0.131,2.1,0.73,0.73,0.73,1.0,1.0,6.0,42.3,0.0
full_eto,001,2010,9,2010-11-09,initial,0.6,0.135,1.86,0.64,0.64,0.64,1.0,1.0,5.0,47.4,0.0
full_eto,001,2010,10,2010-11-10,initial,0.6,0.14,1.97,0.68,0.68,0.68,1.0,1.0,6.0,53.4,0.0
full_eto,001,2010,11,2010-11-11,initial,0.6,0.144,2.06,0.71,0.71,0.71,1.0,1.0,6.2,59.6,0.0
full_eto,001,2010,12,2010-11-12,initial,0.6,0.148,1.82,0.63,0.63,0.63,1.0,1.0,6.4,66.0,0.0
full_eto,001,2010,13,2010-11-13,initial,0.6,0.153,1.56,0.53,0.53,0.53,1.0,1.0,5.1,71.1,0.0
full_eto,001,2010,14,2010-11-14,initial,0.6,0.157,1.86,0.64,0.64,0.64,1.0,1.0,6.6,77.8,0.0
full_eto,001,2010,15,2010-11-15,initial,0.6,0.162,1.64,0.56,0.56,0.56,1.0,1.0,4.9,82.7,0.0
full_eto,001,2010,16,2010-11-16,initial,0.6,0.166,1.99,0.69,0.69,0.72,1.0,1.0,6.4,89.0,0.0
full_eto,001,2010,17,2010-11-17,initial,0.6,0.17,1.83,0.63,0.63,0.63,1.0,1.0,6.8,95.9,0.0
full_eto,001,2010,18,2010-11-18,initial,0.6,0.175,1.81,0.63,0.63,0.63,1.0,1.0,7.2,103.1,0.0
full_eto,001,2010,19,2010-11-19,initial,0.6,0.179,1.99,0.69,0.69,0.69,1.0,1.0,7.6,110.7,0.0
full_eto,001,2010,20,2010-11-20,initial,0.6,0.184,2.14,0.74,0.74,0.74,1.0,1.0,7.6,118.3,0.0
full_eto,001,2010,21,2010-11-21,initial,0.6,0.188,2.13,0.74,0.74,0.74,1.0,1.0,7.8,126.2,0.0
full_eto,001,2010,22,2010-11-22,initial,0.6,0.192,2.19,0.77,0.77,0.77,1.0,1.0,8.1,134.3,0.0
