# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for potato planted 09-15
#   under underpv_low (fall season, 120 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 8940
# CROP: potato
# PLANTING_DATE: 09-15
# CONDITION: underpv_low
# SEASON_LENGTH: 120 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (85%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-09-15,initial,0.5,0.1,4.76,2.07,2.07,2.07,1.0,0.573,7.0,7.0,0.0
full_eto,001,2010,2,2010-09-16,initial,0.5,0.105,4.91,2.13,2.13,2.13,1.0,0.501,6.2,13.2,0.0
full_eto,001,2010,3,2010-09-17,initial,0.5,0.11,4.81,2.09,2.09,2.09,1.0,0.46,6.0,19.2,0.0
full_eto,001,2010,4,2010-09-18,initial,0.5,0.115,5.16,2.24,2.24,2.24,1.0,0.569,7.8,27.0,0.0
full_eto,001,2010,5,2010-09-19,initial,0.5,0.12,4.05,1.75,1.75,1.75,1.0,0.614,8.8,35.8,0.0
full_eto,001,2010,6,2010-09-20,initial,0.5,0.125,3.84,1.66,1.66,1.66,1.0,0.383,5.6,41.4,0.0
full_eto,001,2010,7,2010-09-21,initial,0.5,0.13,4.28,1.85,1.85,1.85,1.0,0.218,3.0,44.3,0.0
full_eto,001,2010,8,2010-09-22,initial,0.5,0.135,3.84,1.66,1.66,1.66,1.0,0.191,1.6,45.9,0.0
full_eto,001,2010,9,2010-09-23,initial,0.5,0.14,4.46,1.93,1.93,1.93,1.0,0.088,1.3,47.2,0.0
full_eto,001,2010,10,2010-09-24,initial,0.5,0.145,4.67,2.02,2.02,2.02,1.0,0.078,1.1,48.3,0.0
full_eto,001,2010,11,2010-09-25,initial,0.5,0.15,4.83,2.09,2.09,2.09,1.0,0.092,1.4,49.7,0.0
full_eto,001,2010,12,2010-09-26,initial,0.5,0.155,4.43,1.92,1.92,1.92,1.0,0.117,1.8,51.6,0.0
full_eto,001,2010,13,2010-09-27,initial,0.5,0.16,4.72,2.04,2.04,2.04,1.0,0.0,0.0,51.6,0.0
full_eto,001,2010,14,2010-09-28,initial,0.5,0.165,4.67,2.02,2.02,2.02,1.0,0.0,0.0,51.6,0.0
