# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-03-04
# DESCRIPTION: Daily crop growth lookup for onion planted 04-01
#   under openfield (spring season, 130 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 9750
# CROP: onion
# PLANTING_DATE: 04-01
# CONDITION: openfield
# SEASON_LENGTH: 130 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, irrigation_mm=mm/day (irrigation only),
#   water_applied_mm=mm/day (irrigation+precip, capped at 1.1*ETc),
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via FAO-56 Penman-Monteith (Eq.6). ETc = Kc * ETo_ref * (1-ET_red).
#   Humidity estimated as Tdew = Tmin - 2C (FAO arid-region approximation).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,irrigation_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.7,0.1,5.94,4.15,4.15,4.15,1.0,1.0,15.7,15.7,0.0
full_eto,001,2010,2,2010-04-02,initial,0.7,0.105,6.32,4.43,4.43,4.43,1.0,0.934,14.9,30.7,0.0
full_eto,001,2010,3,2010-04-03,initial,0.7,0.109,6.13,4.29,4.29,4.29,1.0,0.791,12.1,42.8,0.0
full_eto,001,2010,4,2010-04-04,initial,0.7,0.114,5.54,3.88,3.88,3.88,1.0,1.0,15.2,58.0,0.0
full_eto,001,2010,5,2010-04-05,initial,0.7,0.119,5.88,4.11,4.11,4.11,1.0,1.0,17.7,75.7,0.0
full_eto,001,2010,6,2010-04-06,initial,0.7,0.124,5.6,3.92,3.92,3.92,1.0,1.0,19.0,94.7,0.0
full_eto,001,2010,7,2010-04-07,initial,0.7,0.128,5.56,3.89,3.89,3.89,1.0,1.0,19.6,114.3,0.0
full_eto,001,2010,8,2010-04-08,initial,0.7,0.133,5.31,3.72,3.72,3.72,1.0,1.0,20.3,134.6,0.0
full_eto,001,2010,9,2010-04-09,initial,0.7,0.138,5.57,3.9,3.9,3.9,1.0,1.0,20.9,155.5,0.0
full_eto,001,2010,10,2010-04-10,initial,0.7,0.143,5.12,3.58,3.58,3.58,1.0,1.0,20.1,175.6,0.0
full_eto,001,2010,11,2010-04-11,initial,0.7,0.147,5.6,3.92,3.92,3.92,1.0,0.952,19.0,194.5,0.0
full_eto,001,2010,12,2010-04-12,initial,0.7,0.152,5.13,3.59,3.59,3.59,1.0,1.0,22.7,217.2,0.0
full_eto,001,2010,13,2010-04-13,initial,0.7,0.157,5.3,3.71,3.71,3.71,1.0,1.0,25.3,242.6,0.0
full_eto,001,2010,14,2010-04-14,initial,0.7,0.162,5.82,4.08,4.08,4.08,1.0,1.0,25.6,268.2,0.0
