# SOURCE: Computed from FAO Penman-Monteith ET0 (Hargreaves-Samani simplified) + FAO-56 crop coefficients
# DATE: 2026-02-06
# DESCRIPTION: Daily irrigation demand for potato crops in Sinai Red Sea region
# UNITS:
#   - weather_scenario_id: Scenario identifier (text)
#   - planting_date: Date crop was planted (YYYY-MM-DD)
#   - crop_day: Days since planting (1 to season_length)
#   - calendar_date: Actual calendar date (YYYY-MM-DD)
#   - growth_stage: Crop growth stage (initial/development/mid/late)
#   - kc: Crop coefficient for this day (dimensionless)
#   - et0_mm: Reference evapotranspiration (mm/day)
#   - etc_mm: Crop evapotranspiration = ET0 x Kc (mm/day)
#   - irrigation_m3_per_ha_per_day: Water requirement per hectare (m3/ha/day)
# LOGIC: ET0 = 0.0023 * (Tmean + 17.8) * (Tmax - Tmin)^0.5 * Ra; ETc = ET0 x Kc; Irrigation = ETc x 10 / 0.9 (90% drip efficiency)
# DEPENDENCIES: daily_weather_scenario_001-toy.csv, crop_coefficients-toy.csv, growth_stages-toy.csv
# ASSUMPTIONS: Drip irrigation at 90% efficiency, no rainfall credit, no soil water storage
weather_scenario_id,planting_date,crop_day,calendar_date,growth_stage,kc,et0_mm,etc_mm,irrigation_m3_per_ha_per_day
001,2010-01-15,1,2010-01-15,initial,0.55,2.26,1.24,13.82
001,2010-01-15,2,2010-01-16,initial,0.55,2.21,1.22,13.5
001,2010-01-15,3,2010-01-17,initial,0.55,2.5,1.37,15.26
001,2010-01-15,4,2010-01-18,initial,0.55,2.18,1.2,13.31
001,2010-01-15,5,2010-01-19,initial,0.55,2.09,1.15,12.77
001,2010-01-15,6,2010-01-20,initial,0.55,2.38,1.31,14.55
001,2010-01-15,7,2010-01-21,initial,0.55,2.01,1.11,12.28
001,2010-01-15,8,2010-01-22,initial,0.55,2.57,1.41,15.72
001,2010-01-15,9,2010-01-23,initial,0.55,2.04,1.12,12.47
001,2010-01-15,10,2010-01-24,initial,0.55,2.12,1.16,12.93
001,2010-01-15,11,2010-01-25,initial,0.55,2.59,1.43,15.84
001,2010-01-15,12,2010-01-26,initial,0.55,2.72,1.5,16.63
001,2010-01-15,13,2010-01-27,initial,0.55,2.56,1.41,15.65
001,2010-01-15,14,2010-01-28,initial,0.55,2.53,1.39,15.47
001,2010-01-15,15,2010-01-29,initial,0.55,2.3,1.26,14.04
001,2010-01-15,16,2010-01-30,initial,0.55,2.36,1.3,14.42
001,2010-01-15,17,2010-01-31,initial,0.55,2.52,1.39,15.43
001,2010-01-15,18,2010-02-01,initial,0.55,2.54,1.4,15.54
001,2010-01-15,19,2010-02-02,initial,0.55,2.48,1.36,15.14
001,2010-01-15,20,2010-02-03,initial,0.55,2.63,1.44,16.04
001,2010-01-15,21,2010-02-04,initial,0.55,2.36,1.3,14.43
001,2010-01-15,22,2010-02-05,initial,0.55,2.67,1.47,16.32
001,2010-01-15,23,2010-02-06,initial,0.55,2.36,1.3,14.43
001,2010-01-15,24,2010-02-07,initial,0.55,2.68,1.47,16.38
001,2010-01-15,25,2010-02-08,initial,0.55,2.53,1.39,15.46
001,2010-01-15,26,2010-02-09,development,0.571,2.82,1.61,17.89
001,2010-01-15,27,2010-02-10,development,0.592,2.9,1.72,19.09
001,2010-01-15,28,2010-02-11,development,0.613,2.14,1.31,14.55
001,2010-01-15,29,2010-02-12,development,0.634,2.92,1.85,20.54
001,2010-01-15,30,2010-02-13,development,0.655,2.93,1.92,21.32
001,2010-01-15,31,2010-02-14,development,0.676,3.2,2.16,24.03
001,2010-01-15,32,2010-02-15,development,0.697,2.64,1.84,20.42
001,2010-01-15,33,2010-02-16,development,0.718,2.56,1.84,20.46
001,2010-01-15,34,2010-02-17,development,0.739,2.46,1.82,20.2
001,2010-01-15,35,2010-02-18,development,0.76,2.55,1.94,21.55
001,2010-01-15,36,2010-02-19,development,0.781,3.16,2.47,27.43
001,2010-01-15,37,2010-02-20,development,0.802,3.32,2.66,29.57
001,2010-01-15,38,2010-02-21,development,0.823,3.32,2.73,30.35
001,2010-01-15,39,2010-02-22,development,0.844,2.8,2.37,26.29
